s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,loc
562,634,593,599,564,571,471,535,769,1055,415,475,792,899,387,463,410,467,545,612,723,379,2154,585,1286,223,696,2
562,632,594,600,564,572,470,536,770,1054,415,476,792,899,390,463,410,467,544,612,727,379,2157,589,1285,222,695,2
562,635,593,600,563,571,472,535,769,1055,415,475,792,899,387,464,410,467,545,612,727,379,2157,584,1285,223,695,2
562,634,593,600,563,571,469,535,771,1054,414,475,791,899,391,462,411,467,545,613,726,379,2156,585,1284,223,696,2
562,636,594,597,566,571,469,534,771,1054,414,475,792,899,387,463,410,467,545,613,728,378,2156,585,1286,223,696,2
562,637,593,598,564,572,470,534,771,1054,415,475,797,899,388,465,410,467,546,612,729,378,2157,590,1286,223,696,2
562,632,594,598,565,571,471,535,772,1054,415,475,797,899,390,465,410,467,544,612,727,378,2157,585,1285,223,696,2
562,633,593,601,564,571,470,537,771,1055,414,475,797,900,390,463,409,467,544,613,727,379,2155,586,1284,223,696,2
562,635,593,598,563,570,470,535,771,1056,414,476,792,899,390,463,410,467,543,612,727,377,2157,585,1284,223,695,2
562,634,593,598,565,571,470,534,770,1054,415,475,792,899,390,465,409,467,545,613,726,378,2157,584,1285,225,696,2
562,634,593,600,563,571,472,536,770,1054,416,476,792,899,389,463,409,467,545,613,727,379,2156,589,1286,223,693,2
562,634,594,597,565,570,471,535,769,1055,414,476,792,899,390,463,410,467,545,613,727,378,2157,585,1285,223,694,2
562,634,594,600,566,571,469,535,771,1056,414,475,792,899,391,464,410,467,545,613,727,379,2158,589,1286,223,695,2
562,634,593,597,566,571,471,537,771,1054,415,475,792,899,390,463,408,467,546,612,727,377,2156,590,1287,223,694,2
562,636,593,600,563,572,473,534,771,1053,414,477,792,899,390,462,411,467,544,612,726,380,2156,591,1287,223,695,2
562,637,592,599,564,571,470,534,771,1054,414,476,792,899,391,465,411,467,545,612,726,380,2157,589,1286,223,694,2
562,636,592,600,564,571,470,536,770,1054,415,474,792,899,390,463,413,467,544,612,728,378,2156,584,1287,223,695,2
562,636,593,599,563,572,472,534,771,1055,416,476,792,899,390,465,409,467,545,612,727,378,2157,586,1286,222,696,2
562,637,593,597,565,571,471,539,770,1054,416,475,792,899,386,463,410,467,543,612,723,378,2158,590,1285,223,696,2
562,638,594,598,565,571,471,537,769,1054,415,475,792,899,387,464,409,467,545,612,727,379,2157,585,1285,223,694,2
562,638,592,597,566,571,470,537,769,1055,415,474,792,899,391,466,408,467,545,612,723,378,2155,591,1286,223,694,2
562,636,594,601,564,570,471,535,771,1054,416,477,792,899,392,464,407,467,544,613,727,379,2156,589,1285,223,697,2
562,634,593,597,563,570,470,535,769,1055,413,475,792,899,387,465,407,467,544,612,726,379,2157,585,1286,223,696,2
562,634,594,597,563,571,469,537,771,1055,415,475,792,899,387,466,409,467,545,612,726,379,2158,585,1286,223,695,2
562,632,593,601,563,570,471,535,770,1054,415,475,792,899,390,463,408,467,545,613,728,379,2157,585,1285,223,695,2
562,637,593,597,565,570,471,537,769,1053,414,476,792,899,390,462,412,467,544,612,727,379,2156,585,1286,223,695,2
562,638,593,599,564,571,469,536,769,1054,414,475,792,900,390,464,413,467,545,612,725,379,2156,585,1286,223,694,2
562,633,592,599,565,571,470,536,770,1055,414,476,792,899,389,464,415,467,544,612,728,378,2156,590,1284,222,696,2
562,633,593,597,565,571,469,535,772,1054,416,476,792,899,391,465,422,467,546,612,723,380,2158,584,1287,223,697,2
562,626,594,598,565,571,471,535,771,1053,415,477,792,899,390,461,424,467,544,613,724,378,2157,584,1285,223,696,2
564,696,565,596,566,577,466,533,769,1054,416,475,792,899,390,462,434,467,545,613,727,378,2155,585,1286,223,697,3
563,692,567,598,564,576,467,534,771,1054,414,476,792,899,391,462,428,467,545,612,727,378,2158,586,1286,222,695,3
562,690,569,597,563,576,466,534,771,1054,414,474,792,899,387,464,428,467,545,612,727,379,2159,586,1285,223,695,3
563,689,572,596,566,574,467,533,769,1055,415,474,792,899,389,465,427,467,546,611,726,379,2156,590,1287,223,694,3
562,689,574,598,566,574,468,533,769,1054,416,476,792,899,386,466,428,467,546,612,727,379,2158,590,1286,223,695,3
562,685,573,597,562,573,466,534,771,1055,415,475,792,899,391,464,428,467,545,612,728,379,2155,590,1286,222,694,3
563,688,572,596,564,574,468,533,769,1055,415,476,792,899,390,464,428,467,545,612,726,378,2155,590,1285,223,696,3
564,684,574,595,564,572,466,536,771,1054,415,474,792,899,386,463,428,467,545,613,726,379,2157,585,1286,223,694,3
563,685,574,597,566,572,467,535,770,1054,414,476,792,899,387,466,428,467,544,613,727,378,2158,586,1286,223,694,3
562,686,574,598,565,572,466,533,770,1054,414,474,792,899,387,464,427,467,545,613,727,379,2156,590,1287,223,696,3
